"","Date","Tweets.published","impressions","engagements","taux.d‚..engagement","Retweets","r√.ponses","J.aime","clics.sur.le.profil.de.l.utilisateur","clics.sur.l.URL","clics.sur.le.hashtag","ouvertures.des.d√.tails","clics.sur.le.permalien","ouvertures.d.application","installations.de.l.application","abonnements.","envoyer.le.Tweet.par.email","composer.le.num√.ro","vues.du.m√.dia","engagements.avec.le.m√.dia","impressions.sponsoris√.","engagements.sponsoris√.","taux.d‚..engagement.sponsoris√.","Retweets.sponsoris√.","r√.ponses.sponsoris√.","J.aime.sponsoris√.","clics.sur.le.profil.de.l.utilisateur.sponsoris√.","clics.sur.l.URL.sponsoris√.","clics.sur.le.hashtag.sponsoris√.","ouvertures.des.d√.tails.sponsoris√.","clics.sur.le.permalien.sponsoris√.","ouvertures.d.application.sponsoris√.","installations.de.l.application.sponsoris√.","abonnements..sponsoris√.","envoyer.le.Tweet.par.email.sponsoris√.","composer.le.num√.ro.sponsoris√.","vues.du.m√.dia.sponsoris√.","engagements.avec.le.m√.dia.sponsoris√."
"41","2020-11-10",1,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"42","2020-11-11",0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"43","2020-11-12",1,222,3,0.0135135135135135,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"44","2020-11-13",0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"45","2020-11-14",0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"46","2020-11-15",0,64,1,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"47","2020-11-16",0,89,2,0.0224719101123595,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"48","2020-11-17",0,120,2,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"49","2020-11-18",0,65,5,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"50","2020-11-19",1,311,24,0.0771704180064309,3,0,1,0,3,1,10,0,0,0,0,0,0,6,6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"51","2020-11-20",0,93,3,0.032258064516129,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
