;Identifiant du Tweet;Permalien du Tweet;Texte du Tweet;heure;impressions;engagements;taux d’engagement;Retweets;réponses;J'aime;clics sur le profil de l'utilisateur;clics sur l'URL;clics sur le hashtag;ouvertures des détails;clics sur le permalien;ouvertures d'application;installations de l'application;abonnements ;envoyer le Tweet par email;composer le numéro;vues du média;engagements avec le média;impressions sponsorisé;engagements sponsorisé;taux d’engagement sponsorisé;Retweets sponsorisé;réponses sponsorisé;J'aime sponsorisé;clics sur le profil de l'utilisateur sponsorisé;clics sur l'URL sponsorisé;clics sur le hashtag sponsorisé;ouvertures des détails sponsorisé;clics sur le permalien sponsorisé;ouvertures d'application sponsorisé;installations de l'application sponsorisé;abonnements  sponsorisé;envoyer le Tweet par email sponsorisé;composer le numéro sponsorisé;vues du média sponsorisé;engagements avec le média sponsorisé
1;1364189388637413384;https://twitter.com/groupe_onx/status/1364189388637413384;"#CriseSanitaire : en tant que #collectivité, découvrez nos conseils pour vous accompagner :
▶ à définir une stratégie des #UsagesNumériques résiliente,
▶ à mettre rapidement en œuvre cette dernière.
👉 https://t.co/qCJrgNrO8u https://t.co/R95EMQmBQh";2021-02-23 12:24:00+00:00;1087;11;0.0101195952161913;1;0;2;0;1;0;5;0;0;0;0;0;0;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;1362458860506734596;https://twitter.com/groupe_onx/status/1362458860506734596;"Téléchargez le #LivreBlanc de notre partenaire @PTC_France  pour comprendre, à travers des témoignages, comment la #RéalitéAugmentée se positionne comme un allier stratégique pour les #industriels👉 https://t.co/BghvdUmE2g 
#PTC #industrie40 #AR https://t.co/Y5n5xWN3xR";2021-02-18 17:48:00+00:00;1130;9;0.0079646017699115;1;0;2;1;0;1;3;0;0;0;0;0;0;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3;1361718349579907074;https://twitter.com/groupe_onx/status/1361718349579907074;"🛡Êtes-vous suffisamment paré face à une #cyberattaque ? N’imaginez plus votre niveau de sécurité et faites appel à notre équipe d'auditeurs pour éprouver vos défenses ou les contrôler : https://t.co/lIsXRhhkZN
#pentest #auditdesécurité #phishing #readteam #testintrusion https://t.co/YlDIwcK6Be";2021-02-16 16:45:00+00:00;1123;4;0.0035618878005342;1;0;0;0;0;0;2;0;0;0;0;0;0;29;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4;1359861299002421251;https://twitter.com/groupe_onx/status/1359861299002421251;"💡 #Innovation : Comment valider l'emplacement d'armoires #FttH en moins de 5 minutes ? ⏱Testez Inst'AR, l'application pour valider l'emplacement d'une armoire grâce à la #RéalitéAugmentée.
👉 https://t.co/nI9zLm9Rjd
#AR #FibreOptique #FttE #FttX #FranceTHD #Fibre #TrèsHautDébit https://t.co/7LAxXUhlyC";2021-02-11 13:46:00+00:00;1119;8;0.0071492403932082;0;0;0;0;0;2;3;0;0;0;0;0;0;23;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;1359102554441924613;https://twitter.com/groupe_onx/status/1359102554441924613;"Chaque mois, nos experts #RGPD décryptent l’actualité liée à la #ViePrivée et à la protection des #DonnéesPersonnelles dans notre newsletter « Conseil #DPO ». 🧐📰
Retrouvez en vidéo les sujets abordés ce mois-ci ! 🎞
https://t.co/crkqeAiq35 https://t.co/Kdy6hYLZZF";2021-02-09 11:31:00+00:00;1188;5;0.0042087542087542;1;0;1;0;0;0;3;0;0;0;0;0;0;31;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
6;1357295154516918273;https://twitter.com/groupe_onx/status/1357295154516918273;"Nos consultants en #SécuritéNumérique ont participé à la réunion de reprise du #Club27001 sur Paris, fin janvier.
ON-X Groupe est l'un des membres historiques du Club, pour accompagner au mieux nos clients dans leur certification, selon les normes ISO 27001 et ISO 27701. https://t.co/M3YrCHibL5";2021-02-04 11:49:00+00:00;1456;11;0.007554945054945;1;0;3;2;0;0;2;0;0;0;0;0;0;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
7;1356570146790334466;https://twitter.com/groupe_onx/status/1356570146790334466;"Découvrez cet article Forbes qui explique comment la #Blockchain résout de manière efficace et inédite des problèmes rencontrés dans de nombreux secteurs d'activité: #tracabilité, chaines d'approvisionnement, sécurité, transparence, droits de propriété...
https://t.co/fNhP4b4UAw";2021-02-02 11:48:00+00:00;1046;3;0.002868068833652;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
0;1376890589065711616;https://twitter.com/groupe_onx/status/1376890589065711616;"🛡Êtes-vous suffisamment paré face à une #cyberattaque ? N’imaginez plus votre niveau de sécurité et faites appel à notre équipe d'auditeurs pour éprouver vos défenses ou les contrôler : https://t.co/lIsXRhhkZN
#pentest #auditdesécurité #phishing #readteam #testintrusion https://t.co/r0Dv4UvBl8";2021-03-30 13:34:00+00:00;908;3;0.0033039647577092;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;1375037678379487236;https://twitter.com/groupe_onx/status/1375037678379487236;"[E-JOB DATING] Nos équipes recrutement participent aujourd'hui au forum virtuel organisé par Toulouse Ynov Campus, dédié aux métiers du #digital et de l'#informatique. Bon entretien à tous les étudiants !
Retrouvez nos offres d'emploi sur notre site 👉 https://t.co/xkBi2KXpBn https://t.co/0A7EWW8z5D";2021-03-25 10:51:00+00:00;910;4;0.0043956043956043;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;1374645252485746697;https://twitter.com/groupe_onx/status/1374645252485746697;"Nos équipes participent le jeudi 25 mars au forum virtuel organisé par Toulouse Ynov Campus, dédié aux métiers du #digital et de l'#informatique.
Vous êtes à la recherche d'un #stage ou d'une #alternance ? Rencontrez nos équipes #recrutement 👉 https://t.co/C9Do6KmVgo https://t.co/bhqNwo1JXN";2021-03-24 08:52:00+00:00;998;6;0.0060120240480961;0;0;1;1;0;1;1;0;0;0;0;0;0;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3;1374338168997171201;https://twitter.com/groupe_onx/status/1374338168997171201;"Dans le cadre d’une mission de #sécurité pour un opérateur télécoms, nos équipes #Pentest ont découvert une chaîne de vulnérabilités permettant à un attaquant de s'introduire à distance dans le réseau d'administration  de l'opérateur👉https://t.co/HtW5a6nNxV
#CVE #cybersécurité https://t.co/GF9zA8JcWe";2021-03-23 12:32:00+00:00;1571;26;0.0165499681731381;4;0;3;3;6;0;9;0;0;0;0;0;0;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
4;1372510145113157634;https://twitter.com/groupe_onx/status/1372510145113157634;"Nos équipes s'installent dans de nouveaux locaux à Lyon et recherchent de nouveaux talents #Cloud : #Consultant Cloud, Architecte Cloud, Ingénieur Cloud #DevOps. Retrouvez toutes nos offres sur notre site internet : https://t.co/X30nnwZK8a
#recrutement #innovation #numérique https://t.co/0rTMhjup2v";2021-03-18 11:28:00+00:00;1039;17;0.0163618864292589;1;0;2;0;0;0;5;0;0;0;0;0;0;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;1371837076627451913;https://twitter.com/groupe_onx/status/1371837076627451913;"Téléchargez le #LivreBlanc de notre partenaire 
@PTC_France  pour comprendre, à travers des témoignages, comment la #RéalitéAugmentée se positionne comme un allier stratégique pour les #industriels.
👉 https://t.co/rIW0Dfk2Pj
#PTC #industrie40 #AR https://t.co/lWdFI0EOyM";2021-03-16 14:53:00+00:00;1012;3;0.0029644268774703;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
